name;TP;TN;FN;FP;acc;sens;spec01_g;
213683;7420545;333949;217167;0.9326703923500343;0.39019451018202006;0.9715664848321068
02_g;273949;7319046;335773;256576;0.9276329742525177;0.44930148493903777;0.9661313618868523
03_g;58581;7623490;414154;89119;0.9385153513401514;0.12391932054956795;0.9884450255419405
04_g;102735;7552838;424181;105590;0.9352781019343842;0.19497415147765487;0.9862125752177862
01_g;320566;7305028;227066;332684;0.9316155802370676;0.5853675460893447;0.956441929206024
01_g;334168;7232780;213464;404932;0.9244508233252017;0.6102053934028691;0.9469825518427508
15_g;502084;6067590;97104;1518566;0.8026142823074999;0.8379406797198876;0.7998240479104305
15_g;530916;4986222;68272;2599934;0.6740264062206793;0.8860591333604811;0.6572791279272401
15_g;533090;4595096;66098;2991060;0.6265083055764058;0.8896873769167607;0.6057212638390247
15_g;264804;6827435;334384;758721;0.8664558264136486;0.44193808954785474;0.8999861062704221
15_g;335277;6414133;263911;1172023;0.8245725530900107;0.5595522607261828;0.8455050225700605
15_g;290263;6667444;308925;918712;0.850020109112091;0.48442725822279487;0.878896242049333
15_g;338855;6524686;260333;1061470;0.8385158888862826;0.5655236753740062;0.8600780157961423
15_g;292792;6809398;306396;776758;0.867671535857259;0.4886479702530758;0.8976084857732954
