name;TP;TN;FN;FP;acc;sens;spec
01_dr;301114;6914376;115168;854686;0.8815133487364734;0.7233413887701126;0.8899885211367858
02_dr;403445;6570911;118433;1092555;0.8520541103709264;0.7730638195133729;0.8574333075921522
03_dr;322725;6768969;171675;921975;0.8663892439951211;0.6527609223300971;0.8801219980278103
04_dr;348656;6406921;113523;1316244;0.8253259728607618;0.7543743874126692;0.8295719436267385
05_dr;398971;6837237;110007;839129;0.8840444579971226;0.7838668861915447;0.8906866869036729
11_dr;535687;6702994;157250;789413;0.8843465833567898;0.7730673928510096;0.8946382651129337
12_dr;391639;6559359;165085;1069261;0.8492004734315381;0.703470660506822;0.859835592807087
13_dr;411716;6521181;147763;1104684;0.8469890819493964;0.7358917850357207;0.8551398431522195
14_dr;472752;6417560;152184;1142848;0.8417864905861012;0.7564806636199547;0.8488377875902994
15_dr;436168;6425169;98875;1225132;0.8382466271423656;0.815201768829795;0.8398583271429451

