name;TP;TN;FN;FP;acc;sens;spec
01_dr;364986;6987777;51296;781285;0.8982839328438732;0.8767758394549848;0.8994363798358155
02_dr;447768;6902659;74110;760807;0.8979985447160193;0.8579936306952965;0.9007228582993648
03_dr;415730;6353863;78670;1337081;0.8270383016278852;0.8408778317152104;0.8261486496326069
04_dr;378728;6650748;83451;1072417;0.8587880973603553;0.8194400870658338;0.8611428086801202
05_dr;445822;7100390;63156;575976;0.9219175150121974;0.8759160513813956;0.9249676213979375
06_dr;477715;6730207;140251;837171;0.880588769390755;0.7730441480599256;0.8893710608879324
07_dr;561467;6873011;74892;675974;0.9082670196878714;0.8823117139853448;0.9104549816962147
08_dr;537233;6507694;78544;1061873;0.8606757394680052;0.8724473307707173;0.8597181318297334
09_dr;403980;7070016;150467;560881;0.9130949169637831;0.7286178841259849;0.9264986802993147
10_dr;580068;7028704;134821;441751;0.9295604436417089;0.8114098832126386;0.940866921760455
11_dr;593191;6928823;99746;563584;0.918961255629574;0.8560532920020146;0.9247793132433942
12_dr;449887;6777758;106837;850862;0.8829983199240008;0.8080970103677945;0.8884644929227042
13_dr;464192;6891500;95287;734365;0.898641767529868;0.8296861901876568;0.9037007605038904
14_dr;530406;6517279;94530;1043129;0.8610126831566273;0.8487365106186874;0.8620274196842287
15_dr;471914;6536101;63129;1114200;0.856166216105273;0.8820113523585955;0.8543586716391943
