name;TP;TN;FN;FP;acc;sens;spec
01_g;462367;7113666;85265;524046;0.9255607339166197;0.8443023782394017;0.9313870436591482
02_g;519368;6967172;90354;608450;0.9146274121160943;0.8518111532796914;0.9196831626498788
03_g;359164;7442771;113571;269838;0.9531590853115031;0.7597575808856971;0.9650133955967429
04_g;432536;7277107;94380;381321;0.9418838108697691;0.8208822658640087;0.950208972389634
05_g;446180;7234833;88871;415460;0.9383860959295052;0.8339018149671713;0.9456935832392301
06_g;462940;7234949;96825;390630;0.9404478296819291;0.8270256268255428;0.9487737259033052
07_g;459784;6646706;73000;1005854;0.8681968650309626;0.8629838733895913;0.8685598022099794
08_g;492573;6527628;62985;1102158;0.8576549745496341;0.8866274988390052;0.8555453586771634
09_g;460743;7009476;81200;633925;0.9126334824779508;0.8501687446834815;0.9170624437995599
10_g;473962;6942104;62636;706642;0.9060176334678176;0.8832720211405931;0.9076133525678588
11_g;529856;6629027;95837;930624;0.8745976955886032;0.846830634192807;0.876895904321509
12_g;585118;6702486;91306;806434;0.8903234854882092;0.8650166167965655;0.8926031972640539
13_g;456345;6845292;100636;783071;0.8920378911381123;0.819318791843887;0.8973474387624186
14_g;460848;6680640;117321;926535;0.8724725558266091;0.7970818220969993;0.8782024864683671
15_g;491946;7069518;107242;516638;0.9237808453743667;0.8210211152426283;0.9318972612743529
